24

10 30
7 8
0 4 q
15 14 q
12 7 q
22 2 q
28 22 q
17 28 q
21 28 q
1 27 q
17 10 q
5 11 q
23 17 q
8 15 q
16 8 q
27 17 q
3 1 q
21 10 q
18 16 q
10 13 q
3 23 q
0 16 e
19 25 q
26 28 q
20 3 q
7 25 q
8 19 q
22 11 q
8 7 q
20 23 q
29 8 n
27 26 q
23 27 q
14 3 q
13 2 q
15 20 q

35 150
16 23
8 20 o
22 32 o
6 28 o
3 2 o
3 29 o
5 18 o
8 25 o
30 18 o
31 28 o
26 3 o
14 9 o
14 25 o
11 4 o
7 1 x
3 17 o
16 31 o
12 33 o
34 25 o
18 2 o
13 11 o
9 0 o
6 21 o
22 4 o
31 13 o
14 0 o
11 1 o
19 23 o
1 21 o
4 28 o
0 29 o
9 26 o
29 2 o
7 12 b
28 8 o
34 27 o
13 22 o
5 2 o
11 12 o
2 17 o
19 17 o
32 10 o
12 21 o
16 7 o
31 11 o
0 15 o
10 8 o
15 3 o
31 1 o
21 8 o
32 6 o
31 6 o
26 29 o
20 9 o
5 26 o
14 27 o
18 3 o
0 2 o
4 6 o
12 6 o
33 10 o
13 12 o
29 17 o
5 3 o
31 4 o
3 19 o
7 13 o
34 9 o
34 0 o
29 19 o
0 18 o
31 33 o
6 10 o
29 23 o
0 26 o
15 5 o
30 29 o
2 23 o
17 23 o
6 33 o
7 4 u
25 30 o
11 32 o
14 15 o
20 34 o
13 32 o
18 17 o
32 28 o
9 5 o
28 33 o
27 5 o
27 18 o
9 25 o
7 32 x
10 20 o
8 34 o
5 29 o
8 14 o
27 15 o
10 9 o
20 14 o
27 30 o
3 23 o
31 32 o
18 29 o
21 10 o
13 4 o
24 8 o
7 31 o
18 26 o
9 30 o
5 19 o
15 18 o
7 22 k
0 5 o
0 30 o
30 5 o
34 14 o
31 12 o
2 19 o
30 15 o
33 21 o
1 6 o
25 27 o
28 24 o
27 29 o
22 1 o
24 20 o
1 32 o
26 2 o
16 13 c
33 24 o
13 21 o
0 3 o
31 22 o
9 27 o
27 26 o
24 10 o
8 9 o
27 0 o
20 29 o
25 0 o
32 12 o
13 6 o
7 11 o
16 22 f
32 4 o
21 24 o
21 34 o
10 14 o
13 1 o

50 100
10 16
49 24 b
12 29 b
7 27 b
22 12 m
25 45 b
22 32 b
42 9 b
41 7 b
19 5 b
47 18 b
23 29 b
31 47 b
22 28 g
34 37 b
11 28 g
26 41 b
31 46 b
44 29 b
45 19 b
24 3 b
2 49 b
21 25 b
33 2 b
23 44 b
9 21 b
39 48 b
26 0 b
15 17 b
8 18 b
36 13 b
43 18 b
35 43 b
48 34 b
19 13 b
46 35 b
40 27 b
33 21 b
41 5 b
18 42 b
2 21 b
46 47 b
3 26 b
5 0 b
41 40 b
10 22 b
45 36 b
25 36 b
22 6 y
37 31 b
22 39 h
3 5 b
47 8 b
34 4 b
26 5 b
12 44 b
2 25 b
28 12 b
4 20 b
44 48 b
12 23 b
41 0 b
4 46 b
1 15 b
1 38 b
4 35 b
7 15 b
48 29 b
33 9 b
23 37 b
7 1 b
34 20 b
13 3 b
9 45 b
32 30 v
37 20 b
39 34 b
22 30 n
18 33 b
10 12 c
23 34 b
11 32 t
19 26 b
30 39 b
9 2 b
12 30 b
40 1 b
12 39 b
22 11 b
39 23 b
23 48 b
40 15 b
5 40 b
20 46 b
32 12 x
19 3 b
49 14 b
21 49 b
15 38 b
17 16 b
42 33 b

60 150
1 18
9 2 o
23 36 o
44 6 o
44 31 o
31 22 o
17 21 o
50 52 o
30 24 o
43 50 o
8 47 o
21 53 o
26 7 o
34 0 o
9 43 o
41 24 o
7 9 o
9 59 o
48 24 o
6 16 o
43 52 o
57 44 o
20 32 o
54 4 o
28 42 o
37 6 o
47 10 o
48 20 o
17 20 o
26 59 q
6 31 o
46 47 o
54 56 o
26 55 o
25 39 o
42 47 o
38 46 o
42 58 o
21 20 o
55 7 o
56 4 o
40 11 o
53 18 o
21 41 o
19 59 o
16 0 o
22 23 o
40 57 o
15 35 o
32 53 o
11 44 o
27 11 o
30 21 o
33 14 o
25 42 o
23 54 o
8 42 o
30 41 o
55 2 o
51 15 o
59 50 o
13 30 o
16 34 o
7 43 o
1 55 j
6 12 o
13 17 o
51 25 o
54 51 o
50 27 o
12 23 o
52 45 o
59 52 o
45 6 o
35 3 o
14 49 o
2 19 o
33 5 o
23 4 o
2 27 o
31 16 o
46 10 o
55 19 o
20 53 o
48 32 o
27 52 o
55 59 o
47 14 o
1 26 o
34 54 o
52 40 o
16 12 o
3 46 o
16 22 o
26 43 y
8 58 o
43 59 o
10 5 o
11 57 o
26 9 b
20 18 o
41 48 o
27 40 o
4 25 o
34 23 o
4 51 o
42 38 o
3 8 o
2 59 o
43 27 o
22 12 o
55 9 o
51 35 o
45 37 o
29 30 o
49 21 o
41 18 o
17 48 o
44 22 o
36 56 o
36 54 o
10 29 o
56 51 o
24 20 o
34 36 o
56 15 o
42 46 o
19 50 o
33 13 o
3 42 o
39 35 o
1 43 t
5 49 o
46 33 o
22 36 o
23 0 o
39 28 o
0 25 o
42 10 o
59 11 o
9 50 o
58 38 o
51 39 o
25 15 o
59 27 o
11 45 o
33 29 o
52 11 o
23 56 o
57 45 o
0 56 o

80 190
25 18
41 3 e
73 51 e
39 72 e
59 20 e
9 31 e
64 7 e
7 8 e
17 8 e
68 77 e
41 61 e
67 22 e
39 5 e
20 66 e
46 15 e
70 6 e
69 28 e
54 49 e
73 63 e
19 54 e
32 75 l
22 65 e
71 30 e
68 41 e
52 37 e
38 39 e
12 18 e
52 72 e
44 60 e
40 38 e
49 2 e
28 48 e
9 65 e
78 50 e
49 9 e
47 79 e
39 6 e
23 33 e
19 67 e
26 30 e
16 0 e
79 57 e
45 51 e
5 37 e
10 5 e
8 21 e
41 30 e
37 72 e
50 1 e
75 55 e
14 12 e
45 73 e
57 48 e
56 59 e
5 52 e
25 29 e
48 27 e
25 75 w
53 23 e
21 12 e
23 17 e
55 60 e
26 41 e
62 64 e
77 41 e
30 3 e
0 39 e
29 43 e
55 40 e
29 40 d
30 46 e
60 16 e
42 57 e
58 67 e
29 75 s
44 40 e
31 22 e
33 24 e
76 1 e
34 50 e
48 54 e
33 17 e
73 74 e
21 18 e
29 60 z
29 44 a
79 48 e
65 59 e
6 5 e
50 76 e
45 35 e
36 30 e
61 3 e
62 23 e
38 6 e
57 54 e
32 11 h
29 11 e
71 41 e
28 27 e
58 2 e
22 59 e
25 43 y
24 8 e
52 34 e
38 5 e
24 12 e
67 31 e
72 78 e
68 71 e
74 66 e
16 38 e
68 26 e
26 77 e
26 71 e
10 70 e
14 21 e
79 28 e
27 49 e
4 42 e
2 9 e
31 20 e
60 10 e
74 62 e
3 47 e
5 72 e
71 36 e
57 69 e
9 22 e
34 26 e
33 8 e
17 14 e
51 74 e
1 68 e
49 56 e
76 68 e
24 14 e
69 27 e
72 13 e
27 58 e
55 16 e
31 45 e
8 14 e
20 73 e
0 5 e
3 46 e
63 53 e
70 38 e
29 32 e
79 69 e
27 56 e
75 44 e
13 78 e
44 38 e
48 49 e
11 55 l
51 66 e
30 61 e
69 19 e
78 76 e
47 69 e
42 28 e
70 0 e
10 38 e
63 62 e
41 36 e
61 4 e
58 49 e
2 56 e
53 24 e
16 10 e
55 44 e
43 75 f
19 58 e
56 31 e
1 41 e
2 31 e
50 68 e
7 24 e
43 11 t
4 79 e
11 75 g
1 26 e
5 13 e
48 19 e
34 1 e
42 79 e
57 28 e
27 2 e
38 0 e
34 76 e

100 200
45 67
32 43 i
14 19 i
53 68 i
69 30 i
63 86 i
13 83 i
7 52 i
94 83 i
46 25 i
72 42 i
44 73 i
1 13 l
58 36 i
22 80 i
29 62 i
63 78 i
1 93 m
47 17 i
79 64 i
18 72 i
60 48 i
64 53 i
80 55 i
34 87 i
38 11 i
88 65 i
99 77 i
78 19 i
4 80 i
65 30 i
94 72 i
70 88 i
40 93 c
14 92 i
20 59 i
36 70 i
61 0 i
65 99 i
31 63 i
87 4 i
41 6 i
32 55 i
18 42 i
15 17 i
90 4 i
4 39 i
22 32 i
31 97 f
61 29 i
16 48 i
42 3 i
49 99 i
94 34 i
86 82 i
24 46 i
33 8 i
98 8 i
30 47 i
72 34 i
94 18 i
3 85 i
52 11 i
14 74 i
24 52 i
2 0 i
51 33 i
52 27 i
8 35 i
13 23 i
24 95 i
95 7 i
85 39 i
43 75 i
31 86 c
23 83 i
48 8 i
86 71 i
27 26 i
76 44 i
0 57 i
47 15 i
45 96 y
80 46 i
48 81 i
68 60 i
54 60 i
85 4 i
10 61 i
87 3 i
27 91 i
84 46 i
2 50 i
17 10 i
86 78 i
71 19 i
43 84 i
73 54 i
71 76 i
23 94 i
42 87 i
38 27 i
60 51 i
11 58 i
98 66 i
22 55 i
27 65 i
45 40 i
34 3 i
47 10 i
64 44 i
96 1 i
3 90 i
79 76 i
96 20 k
59 13 i
13 37 i
9 15 i
99 69 i
5 35 i
14 71 i
7 38 i
90 85 i
96 59 b
42 34 i
6 31 i
80 43 i
66 67 i
34 85 i
62 31 i
70 49 i
20 94 i
39 55 i
65 77 i
30 2 i
30 9 i
46 27 i
60 5 i
32 80 i
51 98 i
80 75 i
74 28 i
29 89 i
92 19 i
40 1 a
49 65 i
64 56 i
41 21 i
31 21 i
32 84 i
53 54 i
51 48 i
90 32 i
69 9 i
50 61 i
4 32 i
91 26 i
75 84 i
19 76 i
63 14 i
93 13 i
83 42 i
4 22 i
11 91 i
38 91 i
96 93 l
33 12 i
59 37 i
79 28 i
68 51 i
16 68 i
72 90 i
65 69 i
0 29 i
11 27 i
75 24 i
46 95 i
31 82 i
34 90 i
54 16 i
28 53 i
37 72 i
57 41 i
47 50 i
77 9 i
37 23 i
53 73 i
3 39 i
46 7 i
13 94 i
99 30 i
23 18 i
40 37 g
84 24 i
37 94 i
76 64 i
40 96 i
14 79 i
91 36 i
74 79 i
2 10 i

150 200
41 87
110 123 b
18 88 v
46 57 b
56 46 b
138 109 b
9 35 b
9 116 b
57 37 b
30 87 b
14 55 b
110 27 b
114 48 b
54 124 b
141 12 b
52 131 b
38 9 b
47 17 b
95 144 b
11 16 b
1 126 b
81 111 b
64 28 b
0 107 b
97 137 b
119 56 b
37 64 b
12 74 b
59 105 b
62 61 b
64 65 b
17 29 b
109 148 b
32 130 b
77 101 b
41 128 g
133 16 b
2 86 b
140 73 b
99 83 b
8 27 b
59 140 b
108 82 b
15 57 b
12 59 b
24 34 b
41 18 b
102 4 b
82 143 b
112 68 b
132 78 b
7 53 b
97 45 b
146 93 b
80 38 b
105 97 b
93 94 b
94 104 b
13 99 b
144 72 b
56 39 b
102 123 b
2 125 b
62 67 b
105 6 b
35 116 b
124 2 b
27 146 b
7 117 b
100 146 b
28 108 b
56 43 b
108 95 b
120 35 b
107 147 b
149 31 b
40 133 b
138 25 b
24 132 b
103 30 b
21 33 b
33 22 b
147 11 b
98 2 b
6 45 b
50 63 b
61 92 b
139 135 b
45 138 b
146 49 b
94 42 b
5 14 b
125 59 b
131 1 b
